Ticker,Sector,Industry,Market_Cap,Volume
DDD,Technology,Computer Hardware,633345408,3018420
COF,Financial Services,Credit Services,75220492288,2884694
WDC,Technology,Computer Hardware,23498989568,5983911
GT,Consumer Cyclical,Auto Parts,2327796480,4575374
KLAC,Technology,Semiconductor Equipment & Materials,1.02E+11,1155479
SHW,Basic Materials,Specialty Chemicals,90951671808,1596106
RF,Financial Services,Banks - Regional,21858179072,7846755
NOC,Industrials,Aerospace & Defense,65872666624,801883
JCI,Industrials,Building Products & Equipment,58455310336,3986213
CLX,Consumer Defensive,Household & Personal Products,18573357056,1228554
WMB,Energy,Oil & Gas Midstream,70044319744,7326977
CAH,Healthcare,Medical Distribution,30625990656,2220132
NSC,Industrials,Railroads,58243354624,1178798
SYY,Consumer Defensive,Food Distribution,35160961024,3183589
CME,Financial Services,Financial Data & Stock Exchanges,90130137088,2086047
CSIQ,Technology,Solar,666381248,1733706
RRC,Energy,Oil & Gas E&P,9362828288,2353300
CMI,Industrials,Specialty Industrial Machinery,50774482944,719308
CCL,Consumer Cyclical,Travel Services,34959876096,19961061
VMC,Basic Materials,Building Materials,35567988736,699469
CLF,Basic Materials,Steel,5626022400,15407789
NUE,Basic Materials,Steel,31828901888,2562079
CHRW,Industrials,Integrated Freight & Logistics,11657377792,1122777
MCK,Healthcare,Medical Distribution,75505147904,763362
HAIN,Consumer Defensive,Packaged Foods,400696224,1563255
DOV,Industrials,Specialty Industrial Machinery,27807447040,766949
CNX,Energy,Oil & Gas E&P,4538192384,2987332
KMX,Consumer Cyclical,Auto & Truck Dealerships,13472879616,1889635
HES,Energy,Oil & Gas E&P,44939014144,1820630
TJX,Consumer Cyclical,Apparel Retail,1.41E+11,4882433
HUN,Basic Materials,Chemicals,2937404160,2414059
ETN,Industrials,Specialty Industrial Machinery,1.22E+11,2593711
NE,Energy,Oil & Gas Drilling,4748940800,1591647
DHR,Healthcare,Diagnostics & Research,1.46E+11,3769038
CIM,Real Estate,REIT - Mortgage,1146667520,532466
WU,Financial Services,Credit Services,3500643840,5264425
EMN,Basic Materials,Specialty Chemicals,11702016000,1162369
PH,Industrials,Specialty Industrial Machinery,89339731968,589923
TSM,Technology,Semiconductors,1.05E+12,14526403
SLM,Financial Services,Credit Services,6316208128,2717500
RGR,Industrials,Aerospace & Defense,605308352,159937
GBX,Industrials,Railroads,1912284032,332142
SPTN,Consumer Defensive,Food Distribution,702041600,273559
SCHW,Financial Services,Capital Markets,1.48E+11,9675459
CX,Basic Materials,Building Materials,9662527488,9604913
CLMT,Energy,Oil & Gas E&P,1422480640,1063974
CLB,Energy,Oil & Gas Equipment & Services,814318016,298483
