SIG,Consumer Cyclical,Luxury Goods,2291996928,1489689
JASN,Unknown,Unknown,,
JCAP,Unknown,Unknown,,
KEY,Financial Services,Banks - Regional,19346688000,10968789
PHG,Healthcare,Medical Devices,26661259264,567261
KNOP,Industrials,Marine Shipping,200892352,88150
KIRK,Consumer Cyclical,Home Improvement Retail,34885500,169098
KMT,Industrials,Tools & Accessories,1738285952,900601
LRN,Consumer Defensive,Education & Training Services,6067783168,786877
KTEC,Unknown,Unknown,,16928
KBAL,Unknown,Unknown,,
KRA,Unknown,Unknown,,
KFRC,Industrials,Staffing & Employment Services,958579264,103781
KLXI,Unknown,Unknown,,
KWR,Basic Materials,Specialty Chemicals,2507368448,142801
WYNN,Consumer Cyclical,Resorts & Casinos,8836812800,2167694
SLB,Energy,Oil & Gas Equipment & Services,58947772416,12721625
RIG,Energy,Oil & Gas Drilling,3179168768,23126067
SDRL,Energy,Oil & Gas Drilling,2022417792,781713
SSYS,Technology,Computer Hardware,840201472,697718
TTM,Unknown,Unknown,,
MMP,Unknown,Unknown,,
RLJ,Real Estate,REIT - Hotel & Motel,1471464064,1584427
WPZ,Unknown,Unknown,,
TROX,Basic Materials,Chemicals,1381957504,1083071
SOL,Technology,Solar,86108400,230577
MLNX,Unknown,Unknown,,
SUN,Energy,Oil & Gas Refining & Marketing,7812732416,504372
STON,Unknown,Unknown,,
LGCY,Consumer Defensive,Education & Training Services,119674808,94067
TOO,Unknown,Unknown,,
TNK,Energy,Oil & Gas Midstream,1403454848,436027
TGP,Unknown,Unknown,,
SMLP,Unknown,Unknown,,
SDLP,Unknown,Unknown,,
NMM,Industrials,Marine Shipping,1309127808,147025
MPLX,Energy,Oil & Gas Midstream,54623068160,1831647
SSL,Basic Materials,Specialty Chemicals,2841245952,1164625
LXP,Real Estate,REIT - Industrial,2525114368,2024801
TLP,Unknown,Unknown,,
SRLP,Unknown,Unknown,,
NRP,Energy,Thermal Coal,1341186432,32833
WNS,Technology,Information Technology Services,2557745664,526110
TSEM,Technology,Semiconductors,5354684416,724071
PSXP,Unknown,Unknown,,
MMLP,Energy,Oil & Gas Midstream,140403952,118706
LPT,Unknown,Unknown,,
MAGS,Unknown,Unknown,,2079140
SILC,Technology,Communication Equipment,99412552,37023
MRTN,Industrials,Trucking,1217070720,397964
TCP,Unknown,Unknown,,
LVNTA,Unknown,Unknown,,
LAWS,Unknown,Unknown,,
WBAI,Unknown,Unknown,,
TATT,Industrials,Aerospace & Defense,307200832,54037
SLAB,Technology,Semiconductors,4882936320,332827
SHLX,Unknown,Unknown,,
LFUS,Technology,Electronic Components,6144615936,133354
ZPIN,Unknown,Unknown,,
RMP,Unknown,Unknown,,
NVFY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",4362479,73322
MMYT,Consumer Cyclical,Travel Services,11445871616,639318
LUB,Unknown,Unknown,,
LTRX,Technology,Communication Equipment,118308584,426710
RCON,Energy,Oil & Gas Equipment & Services,58215036,9876
RDCM,Communication Services,Telecom Services,223775968,87345
PANL,Industrials,Marine Shipping,340397728,220349
WMLP,Unknown,Unknown,,
LQDT,Consumer Cyclical,Internet Retail,1108413312,324923
WNRL,Unknown,Unknown,,
RLOG,Unknown,Unknown,,
NAP,Unknown,Unknown,,
CCLP,Unknown,Unknown,,
CAPL,Energy,Oil & Gas Refining & Marketing,860996800,35486
USLM,Basic Materials,Building Materials,2935776768,127133
USDP,Industrials,Railroads,574164,71816
PBFX,Unknown,Unknown,,
OCIP,Unknown,Unknown,,
NVMI,Technology,Semiconductor Equipment & Materials,7813454848,202827
MS,Financial Services,Capital Markets,219901886464,6408849
MTL,Unknown,Unknown,,
MANU,Communication Services,Entertainment,2668451840,225883
MLR,Consumer Cyclical,Auto Parts,729255360,84340
TITN,Industrials,Industrial Distribution,416493856,279176
SMP,Consumer Cyclical,Auto Parts,673810240,104625
MSA,Industrials,Security & Protection Services,6418536960,170577
MLI,Industrials,Metal Fabrication,9169315840,1311064
MVO,Energy,Oil & Gas E&P,62674996,104745
MGRC,Industrials,Rental & Leasing Services,2949581056,136561
